,US Dollar Index
2013-07-14 00:00:00+00:00,94.0029
2013-07-21 00:00:00+00:00,93.4759
2013-07-28 00:00:00+00:00,93.1695
2013-08-04 00:00:00+00:00,93.5789
2013-08-11 00:00:00+00:00,92.8394
2013-08-18 00:00:00+00:00,93.4255
2013-08-25 00:00:00+00:00,93.9466
2013-09-01 00:00:00+00:00,94.7541
2013-09-08 00:00:00+00:00,94.2487
2013-09-15 00:00:00+00:00,93.6666
2013-09-22 00:00:00+00:00,92.6049
2013-09-29 00:00:00+00:00,92.9747
2013-10-06 00:00:00+00:00,92.6469
2013-10-13 00:00:00+00:00,92.854
2013-10-20 00:00:00+00:00,91.9989
2013-10-27 00:00:00+00:00,92.1623
2013-11-03 00:00:00+00:00,93.155
2013-11-10 00:00:00+00:00,93.6619
2013-11-17 00:00:00+00:00,93.2854
2013-11-24 00:00:00+00:00,93.4198
2013-12-01 00:00:00+00:00,93.6291
2013-12-08 00:00:00+00:00,93.4045
2013-12-15 00:00:00+00:00,93.3568
2013-12-22 00:00:00+00:00,93.7211
2013-12-29 00:00:00+00:00,93.7018
2014-01-05 00:00:00+00:00,93.853
2014-01-12 00:00:00+00:00,94.0045
2014-01-19 00:00:00+00:00,94.5846
2014-01-26 00:00:00+00:00,94.8555
2014-02-02 00:00:00+00:00,95.1774
2014-02-09 00:00:00+00:00,94.7457
2014-02-16 00:00:00+00:00,94.2711
2014-02-23 00:00:00+00:00,94.6571
2014-03-02 00:00:00+00:00,94.3879
2014-03-09 00:00:00+00:00,94.2532
2014-03-16 00:00:00+00:00,94.243
2014-03-23 00:00:00+00:00,94.8547
2014-03-30 00:00:00+00:00,94.3683
2014-04-06 00:00:00+00:00,94.2191
2014-04-13 00:00:00+00:00,93.6395
2014-04-20 00:00:00+00:00,93.9629
2014-04-27 00:00:00+00:00,94.1623
2014-05-04 00:00:00+00:00,93.8182
2014-05-11 00:00:00+00:00,93.6614
2014-05-18 00:00:00+00:00,93.6073
2014-05-25 00:00:00+00:00,93.7042
2014-06-01 00:00:00+00:00,93.7606
2014-06-08 00:00:00+00:00,93.9069
2014-06-15 00:00:00+00:00,93.9168
2014-06-22 00:00:00+00:00,93.7591
2014-06-29 00:00:00+00:00,93.3983
2014-07-06 00:00:00+00:00,93.3149
2014-07-13 00:00:00+00:00,93.4171
2014-07-20 00:00:00+00:00,93.6608
2014-07-27 00:00:00+00:00,93.8294
2014-08-03 00:00:00+00:00,94.4754
2014-08-10 00:00:00+00:00,94.6027
2014-08-17 00:00:00+00:00,94.2941
2014-08-24 00:00:00+00:00,94.8012
2014-08-31 00:00:00+00:00,94.7251
2014-09-07 00:00:00+00:00,95.2203
2014-09-14 00:00:00+00:00,96.0748
2014-09-21 00:00:00+00:00,96.3417
2014-09-28 00:00:00+00:00,97.208
2014-10-05 00:00:00+00:00,97.9846
2014-10-12 00:00:00+00:00,97.4144
2014-10-19 00:00:00+00:00,97.3067
2014-10-26 00:00:00+00:00,97.4772
2014-11-02 00:00:00+00:00,98.1163
2014-11-09 00:00:00+00:00,99.0236
2014-11-16 00:00:00+00:00,99.0917
2014-11-23 00:00:00+00:00,99.2894
2014-11-30 00:00:00+00:00,100.0719
2014-12-07 00:00:00+00:00,101.0989
2014-12-14 00:00:00+00:00,101.3735
2014-12-21 00:00:00+00:00,102.0483
2014-12-28 00:00:00+00:00,102.3028
2015-01-04 00:00:00+00:00,102.9027
2015-01-11 00:00:00+00:00,103.1213
2015-01-18 00:00:00+00:00,103.2189
2015-01-25 00:00:00+00:00,104.3676
2015-02-01 00:00:00+00:00,105.5884
2015-02-08 00:00:00+00:00,105.1283
2015-02-15 00:00:00+00:00,104.8452
2015-02-22 00:00:00+00:00,105.3387
2015-03-01 00:00:00+00:00,105.5981
2015-03-08 00:00:00+00:00,107.4337
2015-03-15 00:00:00+00:00,108.9174
2015-03-22 00:00:00+00:00,107.1671
2015-03-29 00:00:00+00:00,106.8916
2015-04-05 00:00:00+00:00,105.8861
2015-04-12 00:00:00+00:00,107.4526
2015-04-19 00:00:00+00:00,106.329
2015-04-26 00:00:00+00:00,105.905
2015-05-03 00:00:00+00:00,105.6382
2015-05-10 00:00:00+00:00,104.8424
2015-05-17 00:00:00+00:00,104.0202
2015-05-24 00:00:00+00:00,105.8487
2015-05-31 00:00:00+00:00,106.7388
2015-06-07 00:00:00+00:00,107.1336
2015-06-14 00:00:00+00:00,105.9015
2015-06-21 00:00:00+00:00,105.4496
2015-06-28 00:00:00+00:00,106.4116
2015-07-05 00:00:00+00:00,106.9106
2015-07-12 00:00:00+00:00,107.213
2015-07-19 00:00:00+00:00,108.5374
2015-07-26 00:00:00+00:00,109.0174
2015-08-02 00:00:00+00:00,108.7819
2015-08-09 00:00:00+00:00,109.4376
2015-08-16 00:00:00+00:00,109.9174
2015-08-23 00:00:00+00:00,110.1443
2015-08-30 00:00:00+00:00,110.6714
2015-09-06 00:00:00+00:00,111.1018
2015-09-13 00:00:00+00:00,110.6109
2015-09-20 00:00:00+00:00,109.8165
2015-09-27 00:00:00+00:00,111.3725
2015-10-04 00:00:00+00:00,110.7006
2015-10-11 00:00:00+00:00,109.0782
2015-10-18 00:00:00+00:00,108.9956
2015-10-25 00:00:00+00:00,110.4329
2015-11-01 00:00:00+00:00,110.2079
2015-11-08 00:00:00+00:00,111.7603
2015-11-15 00:00:00+00:00,112.0264
2015-11-22 00:00:00+00:00,111.7799
2015-11-29 00:00:00+00:00,112.2824
2015-12-06 00:00:00+00:00,111.5463
2015-12-13 00:00:00+00:00,112.7147
2015-12-20 00:00:00+00:00,113.2837
2015-12-27 00:00:00+00:00,113.0496
2016-01-03 00:00:00+00:00,113.3429
2016-01-10 00:00:00+00:00,115.0095
2016-01-17 00:00:00+00:00,115.7404
2016-01-24 00:00:00+00:00,115.9833
2016-01-31 00:00:00+00:00,115.5731
2016-02-07 00:00:00+00:00,114.2935
2016-02-14 00:00:00+00:00,114.2992
2016-02-21 00:00:00+00:00,113.9558
2016-02-28 00:00:00+00:00,114.3708
2016-03-06 00:00:00+00:00,112.6387
2016-03-13 00:00:00+00:00,111.741
2016-03-20 00:00:00+00:00,110.4002
2016-03-27 00:00:00+00:00,111.7698
2016-04-03 00:00:00+00:00,110.2977
2016-04-10 00:00:00+00:00,110.4213
2016-04-17 00:00:00+00:00,110.1933
2016-04-24 00:00:00+00:00,110.2331
2016-05-01 00:00:00+00:00,108.8274
2016-05-08 00:00:00+00:00,110.3801
2016-05-15 00:00:00+00:00,111.2521
2016-05-22 00:00:00+00:00,112.1822
