,10-Year Treasury Yield,2-Year Treasury Yield,Federal Funds Effective Rate,1-Month Treasury Yield,3-Month Treasury Yield,5-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM,Corporate_Bonds,Gold,SP500
2005-01-23,4.16,3.16,2.26,2.02,2.36,3.65,4.69,4.7,5.15,5.67,1.29,1.8000000000000003,1.0,1.5300000000000002,0.5100000000000002,0.54,1.5,45.85300064086914,33.886558532714844,82.09700012207031
2005-01-30,4.16,3.25,2.48,2.12,2.46,3.69,4.66,4.64,5.14,5.66,1.23,1.7000000000000002,0.9100000000000001,1.4100000000000001,0.4700000000000002,0.47999999999999954,1.4400000000000004,45.85300064086914,33.886558532714844,82.553955078125
2005-02-06,4.09,3.29,2.51,2.2,2.47,3.68,4.54,4.48,5.14,5.63,1.21,1.6199999999999997,0.7999999999999998,1.25,0.4099999999999997,0.39000000000000057,1.4500000000000002,45.85300064086914,33.886558532714844,84.52235412597656
2005-02-13,4.1,3.34,2.5,2.36,2.55,3.7,4.55,4.52,5.1,5.57,1.1500000000000004,1.5499999999999998,0.7599999999999998,1.21,0.39999999999999947,0.41999999999999993,1.5,45.85300064086914,33.886558532714844,84.90199279785156
2005-02-20,4.27,3.45,2.51,2.39,2.61,3.86,4.72,4.65,5.14,5.62,1.25,1.6599999999999997,0.8199999999999994,1.2699999999999996,0.4099999999999997,0.3800000000000008,1.4299999999999997,45.85300064086914,33.886558532714844,84.63487243652344
2005-02-27,4.27,3.54,2.54,2.5,2.74,3.91,4.72,4.61,5.22,5.69,1.17,1.5299999999999994,0.7299999999999995,1.1799999999999997,0.35999999999999943,0.34000000000000075,1.4000000000000004,45.85300064086914,33.886558532714844,85.36598205566406
2005-03-06,4.32,3.57,2.5,2.56,2.76,3.97,4.73,4.66,5.33,5.79,1.2100000000000004,1.5600000000000005,0.7500000000000004,1.1600000000000006,0.3500000000000001,0.33999999999999986,1.4000000000000004,45.85300064086914,33.886558532714844,86.27989196777344
2005-03-13,4.56,3.73,2.51,2.6,2.76,4.22,4.93,4.8,5.38,5.85,1.46,1.7999999999999998,0.8299999999999996,1.1999999999999997,0.33999999999999986,0.2400000000000002,1.3699999999999992,45.85300064086914,33.886558532714844,84.63487243652344
2005-03-20,4.51,3.72,2.7,2.7,2.81,4.18,4.92,4.8,5.47,5.95,1.3699999999999997,1.6999999999999997,0.7899999999999996,1.1999999999999997,0.33000000000000007,0.29000000000000004,1.4800000000000004,45.85300064086914,33.886558532714844,83.6615982055664
2005-03-27,4.6,3.88,2.8,2.7,2.84,4.3,4.97,4.84,5.56,6.01,1.46,1.7599999999999998,0.7199999999999998,1.0899999999999999,0.2999999999999998,0.2400000000000002,1.4100000000000001,45.85300064086914,33.886558532714844,82.67355346679688
2005-04-03,4.46,3.75,2.83,2.66,2.8,4.13,4.85,4.72,5.58,6.04,1.33,1.6600000000000001,0.71,1.0999999999999996,0.33000000000000007,0.2599999999999998,1.54,45.85300064086914,33.886558532714844,82.8781967163086
2005-04-10,4.5,3.77,2.75,2.61,2.79,4.17,4.88,4.77,5.48,5.93,1.38,1.71,0.73,1.1099999999999999,0.33000000000000007,0.2699999999999996,1.4399999999999995,45.85300064086914,33.886558532714844,83.28050231933594
2005-04-17,4.27,3.54,2.82,2.63,2.79,3.9,4.73,4.66,5.46,5.91,1.1099999999999999,1.4799999999999995,0.7299999999999995,1.1900000000000004,0.36999999999999966,0.39000000000000057,1.54,45.85300064086914,33.886558532714844,80.56330871582031
2005-04-24,4.26,3.62,2.74,2.64,2.93,3.92,4.68,4.6,5.36,5.8,0.9899999999999998,1.3299999999999996,0.6399999999999997,1.0599999999999996,0.33999999999999986,0.33999999999999986,1.4799999999999995,45.85300064086914,33.886558532714844,81.56549072265625
2005-05-01,4.21,3.66,2.97,2.7,2.9,3.9,4.61,4.53,5.33,5.78,1.0,1.31,0.5499999999999998,0.9500000000000002,0.31000000000000005,0.3200000000000003,1.5899999999999999,45.85300064086914,33.886558532714844,81.69255065917969
2005-05-08,4.28,3.73,2.98,2.64,2.87,3.95,4.69,4.62,5.31,5.75,1.08,1.4100000000000001,0.5500000000000003,0.9600000000000004,0.33000000000000007,0.33999999999999986,1.5599999999999996,45.85300064086914,33.886558532714844,82.63826751708984
2005-05-15,4.12,3.61,3.01,2.47,2.83,3.83,4.56,4.48,5.33,5.77,1.0,1.29,0.5100000000000002,0.9499999999999997,0.29000000000000004,0.3600000000000003,1.5899999999999999,45.85300064086914,33.886558532714844,81.67134857177734
2005-05-22,4.13,3.69,3.01,2.66,2.9,3.88,4.52,4.44,5.27,5.71,0.98,1.23,0.43999999999999995,0.8299999999999996,0.25,0.3100000000000005,1.5999999999999996,45.85300064086914,33.886558532714844,84.0709457397461
2005-05-29,4.08,3.64,3.01,2.77,2.97,3.82,4.49,4.45,5.21,5.65,0.8499999999999996,1.1099999999999999,0.43999999999999995,0.8500000000000001,0.26000000000000023,0.3700000000000001,1.5700000000000003,45.85300064086914,33.886558532714844,84.86846160888672
2005-06-05,3.98,3.57,2.99,2.82,3.01,3.73,4.34,4.26,5.2,5.62,0.7200000000000002,0.9700000000000002,0.41000000000000014,0.77,0.25,0.2799999999999998,1.73,45.85300064086914,33.886558532714844,84.79788970947266
2005-06-12,4.05,3.71,3.01,2.82,3.01,3.84,4.39,4.3,5.14,5.56,0.8300000000000001,1.04,0.33999999999999986,0.6799999999999997,0.20999999999999996,0.25,1.5799999999999996,45.85300064086914,33.886558532714844,84.83317565917969
